Value,Count
2.0,4060.0
3.0,3295.0
9.0,2833.0
4.02,2806.0
1.02,2765.0
5.01,2653.0
213.22,2560.0
32.02,2542.0
10.03,2493.0
4.0,2426.0
6.0,2421.0
10.0,2383.0
35.0,2367.0
23.01,2225.0
12.0,2196.0
1.0,2186.0
7.0,2163.0
8.0,2147.0
13.0,2138.0
52.06,2115.0
15.0,2114.0
5.02,2109.0
1.01,2052.0
24.0,2039.0
110.0,1991.0
7.02,1987.0
4.01,1968.0
38.04,1967.0
8.01,1940.0
170.3,1923.0
61.0,1906.0
1.03,1879.0
91.18,1870.0
38.03,1854.0
113.0,1840.0
5.03,1839.0
111.02,1822.0
51.0,1787.0
11.01,1779.0
14.0,1764.0
22.0,1740.0
7.01,1729.0
91.1,1706.0
31.0,1696.0
58.01,1693.0
10.02,1629.0
17.0,1624.0
2.02,1619.0
133.1,1613.0
524.04,1586.0
32.06,1584.0
23.04,1578.0
27.06,1577.0
13.01,1569.0
24.02,1552.0
18.0,1545.0
133.13,1544.0
23.02,1540.0
19.03,1516.0
122.0,1474.0
19.01,1460.0
103.0,1460.0
133.14,1455.0
116.0,1454.0
213.09,1448.0
2.01,1444.0
11.0,1434.0
524.26,1423.0
87.05,1418.0
5.04,1417.0
427.33,1411.0
21.0,1408.0
427.15,1407.0
6.01,1394.0
200.27,1384.0
16.0,1380.0
17.04,1373.0
32.04,1363.0
38.01,1333.0
19.0,1331.0
432.4,1321.0
5.0,1315.0
79.04,1305.0
524.2,1304.0
37.0,1301.0
407.0,1297.0
3.04,1288.0
52.02,1263.0
50.04,1259.0
58.02,1249.0
27.0,1248.0
54.03,1230.0
96.38,1228.0
3.03,1227.0
30.01,1227.0
33.0,1220.0
307.04,1219.0
9.12,1214.0
432.35,1213.0
32.08,1210.0
19.06,1204.0
1.04,1196.0
9010.04,1181.0
419.11,1181.0
26.02,1181.0
2.03,1180.0
79.03,1176.0
406.07,1168.0
414.09,1161.0
56.0,1155.0
100.17,1150.0
17.03,1147.0
84.02,1143.0
31.14,1128.0
507.0,1128.0
100.14,1123.0
20.1,1120.0
403.03,1119.0
426.2,1117.0
115.0,1115.0
505.0,1108.0
31.23,1106.0
51.06,1099.0
4.04,1092.0
29.02,1091.0
42.0,1089.0
109.01,1086.0
432.47,1080.0
74.03,1077.0
100.04,1077.0
198.06,1071.0
119.0,1069.0
320.56,1055.0
60.0,1054.0
110.02,1051.0
28.0,1045.0
92.01,1043.0
20.0,1040.0
112.06,1040.0
3020.08,1040.0
109.02,1038.0
91.12,1036.0
52.07,1035.0
10.01,1032.0
104.0,1031.0
427.26,1029.0
35.02,1029.0
114.01,1027.0
23.05,1020.0
87.06,1018.0
9.1,1015.0
2522.02,1015.0
524.22,1012.0
36.05,1010.0
438.23,1003.0
406.09,994.0
59.11,991.0
2535.0,990.0
49.01,989.0
86.0,989.0
54.0,983.0
20.07,978.0
20.22,972.0
8.02,969.0
5031.15,965.0
111.01,963.0
27.03,963.0
71.02,961.0
110.01,955.0
40.01,954.0
215.0,952.0
84.01,951.0
320.23,944.0
503.0,937.0
3031.03,936.0
23.0,933.0
3.02,931.0
2523.17,931.0
32.0,928.0
14.02,926.0
114.03,925.0
87.03,925.0
3551.08,924.0
22.02,921.0
102.0,919.0
46.01,916.0
91.07,910.0
38.05,908.0
28.08,907.0
4507.5,906.0
320.58,905.0
40.02,903.0
91.14,902.0
200.13,902.0
85.0,902.0
117.0,899.0
26.01,899.0
9012.05,899.0
59.09,890.0
94.07,890.0
65.0,888.0
16.01,887.0
71.04,885.0
615.0,884.0
74.02,884.0
123.02,882.0
88.0,881.0
3020.1,881.0
70.15,881.0
54.04,880.0
79.01,879.0
45.04,879.0
311.0,879.0
42.01,879.0
432.52,878.0
123.04,875.0
3032.02,873.0
38.09,871.0
453.04,870.0
25.02,870.0
4.03,868.0
85.01,865.0
206.02,864.0
147.0,864.0
11.02,863.0
3552.0,862.0
31.03,860.0
27.02,856.0
3.01,852.0
15.01,850.0
4507.52,844.0
9107.05,844.0
97.11,840.0
432.44,838.0
9.02,838.0
2756.02,836.0
112.04,835.0
320.59,833.0
36.06,831.0
55.07,831.0
51.19,827.0
59.12,825.0
201.03,824.0
426.19,821.0
40.0,816.0
41.02,814.0
3040.05,810.0
2.1,809.0
107.01,808.0
306.01,807.0
69.0,807.0
427.29,806.0
72.02,806.0
27.04,805.0
403.02,803.0
9200.28,800.0
120.0,798.0
52.04,792.0
314.02,792.0
101.02,791.0
51.35,789.0
406.13,788.0
206.01,785.0
118.0,785.0
59.04,785.0
105.01,784.0
315.02,783.0
4443.02,780.0
233.0,779.0
119.02,778.0
95.02,777.0
427.38,776.0
3031.02,775.0
513.0,774.0
203.06,774.0
64.0,773.0
234.0,772.0
124.02,772.0
432.42,771.0
3800.0,770.0
