Value,Count
37.0,351197.0
73.0,156423.0
65.0,145449.0
59.0,130282.0
71.0,113825.0
67.0,86090.0
1.0,69635.0
85.0,69440.0
13.0,65272.0
77.0,38919.0
111.0,38479.0
19.0,37882.0
29.0,37014.0
61.0,28416.0
95.0,27909.0
99.0,27421.0
81.0,26816.0
75.0,22857.0
97.0,22841.0
107.0,17021.0
83.0,15610.0
53.0,14792.0
17.0,14084.0
79.0,13502.0
41.0,11675.0
47.0,11080.0
87.0,10666.0
7.0,9673.0
89.0,9126.0
113.0,8474.0
57.0,6838.0
55.0,6629.0
39.0,6356.0
25.0,5803.0
31.0,5467.0
115.0,4458.0
101.0,4437.0
23.0,3681.0
9.0,3676.0
69.0,3673.0
33.0,3431.0
109.0,3343.0
45.0,2759.0
103.0,2719.0
5.0,2361.0
93.0,1587.0
63.0,1280.0
35.0,1129.0
51.0,1096.0
21.0,953.0
15.0,872.0
43.0,855.0
11.0,763.0
27.0,516.0
105.0,500.0
49.0,241.0
91.0,185.0
3.0,97.0
