Value,Count
Los Angeles County,351197
San Diego County,156423
Riverside County,145449
Orange County,130282
San Bernardino County,113825
Sacramento County,86090
Alameda County,69635
Santa Clara County,69440
Contra Costa County,65272
San Joaquin County,38919
Ventura County,38479
Fresno County,37882
Kern County,37014
Placer County,28416
Solano County,27909
Stanislaus County,27421
San Mateo County,26816
San Francisco County,22857
Sonoma County,22841
Tulare County,17021
Santa Barbara County,15610
Monterey County,14792
El Dorado County,14084
San Luis Obispo County,13502
Marin County,11675
Merced County,11080
Santa Cruz County,10666
Butte County,9673
Shasta County,9126
Yolo County,8474
Nevada County,6838
Napa County,6629
Madera County,6356
Imperial County,5803
Kings County,5467
Yuba County,4458
Sutter County,4437
Humboldt County,3681
Calaveras County,3676
San Benito County,3673
Lake County,3431
Tuolumne County,3343
Mendocino County,2759
Tehama County,2719
Amador County,2361
Siskiyou County,1587
Plumas County,1280
Lassen County,1129
Mono County,1096
Glenn County,953
Del Norte County,872
Mariposa County,855
Colusa County,763
Inyo County,516
Trinity County,500
Modoc County,241
Sierra County,185
Alpine County,97
