Value,Count
64300.0,350896.0
63200.0,259707.0
79300.0,156230.0
75200.0,137194.0
97400.0,134580.0
88000.0,129831.0
111200.0,72899.0
113100.0,49450.0
61100.0,39073.0
59900.0,38892.0
85600.0,38391.0
50000.0,38041.0
53000.0,37177.0
80400.0,27929.0
57500.0,27481.0
83900.0,22849.0
47300.0,17110.0
73900.0,15578.0
63100.0,14807.0
83200.0,13504.0
131500.0,11558.0
48500.0,11122.0
83300.0,10624.0
62600.0,9673.0
61800.0,9136.0
55500.0,8916.0
91000.0,6632.0
51300.0,6393.0
49700.0,5832.0
50200.0,5493.0
