Value,Count
31084.0,349823.0
40140.0,258840.0
41740.0,155840.0
40900.0,136814.0
36084.0,134181.0
11244.0,129455.0
41940.0,72735.0
41884.0,49283.0
44700.0,38902.0
37100.0,38314.0
23420.0,37852.0
12540.0,36940.0
46700.0,27859.0
33700.0,27408.0
42220.0,22796.0
47300.0,17014.0
42200.0,15544.0
41500.0,14764.0
42020.0,13479.0
42034.0,11537.0
32900.0,11074.0
42100.0,10603.0
17020.0,9656.0
39820.0,9105.0
49700.0,8886.0
34900.0,6616.0
31460.0,6352.0
20940.0,5802.0
25260.0,5463.0
31080.0,171.0
41860.0,84.0
21700.0,8.0
43760.0,4.0
17340.0,4.0
46020.0,2.0
39780.0,2.0
18860.0,1.0
46380.0,1.0
