Value,Count
1.5,720.0
1.52,665.0
1.53,624.0
1.57,620.0
1.51,608.0
1.55,605.0
1.56,597.0
1.59,578.0
1.54,567.0
1.6,556.0
1.66,554.0
1.61,554.0
1.58,553.0
1.62,552.0
1.65,547.0
1.64,545.0
1.63,542.0
1.67,526.0
1.68,504.0
1.7,500.0
1.8,495.0
1.69,494.0
1.75,490.0
1.71,487.0
1.77,475.0
1.72,458.0
1.78,455.0
1.74,452.0
1.79,450.0
1.76,447.0
1.82,427.0
1.73,424.0
1.84,419.0
1.83,416.0
1.87,398.0
1.81,395.0
1.85,391.0
1.86,388.0
1.88,376.0
1.89,354.0
1.93,316.0
1.9,310.0
1.91,282.0
1.96,272.0
1.94,270.0
1.92,266.0
1.95,261.0
1.97,253.0
2.0,251.0
1.99,243.0
1.98,232.0
2.03,227.0
2.07,221.0
2.02,220.0
2.04,216.0
2.05,209.0
2.08,206.0
2.01,203.0
6.48,201.0
2.06,200.0
2.18,197.0
6.49,194.0
2.19,193.0
2.09,192.0
2.11,191.0
2.13,191.0
2.17,191.0
2.15,185.0
2.1,183.0
2.12,182.0
2.14,171.0
2.2,170.0
2.21,161.0
2.22,157.0
2.24,153.0
2.3,152.0
2.28,148.0
2.26,146.0
2.33,140.0
2.23,139.0
2.27,137.0
2.31,136.0
2.16,134.0
2.32,134.0
2.25,127.0
2.29,125.0
2.34,110.0
2.36,107.0
2.37,102.0
2.38,95.0
2.43,93.0
2.35,92.0
2.39,90.0
2.48,88.0
2.42,87.0
2.4,86.0
2.41,83.0
8.48,81.0
2.45,81.0
2.49,80.0
2.56,77.0
2.59,77.0
2.54,71.0
2.66,71.0
2.62,70.0
2.51,69.0
2.52,67.0
2.57,66.0
2.5,66.0
2.44,66.0
2.46,65.0
2.55,64.0
2.74,64.0
2.47,64.0
2.58,63.0
2.53,63.0
2.76,62.0
2.63,61.0
2.64,60.0
2.6,58.0
2.65,58.0
2.8,56.0
2.67,56.0
8.49,55.0
2.73,54.0
2.61,51.0
2.77,51.0
2.71,50.0
2.81,49.0
2.69,48.0
2.68,46.0
8.47,44.0
2.7,44.0
2.75,43.0
2.72,41.0
2.85,40.0
2.83,39.0
2.79,38.0
