Value,Count
0000451965,153638
0000852218,72457
7197000003,59900
0000480228,52903
75-2921540,48883
26-4599244,39782
0000146672,36885
38-2750395,36854
0000504713,33757
13-6131491,33385
23-2769131,31840
47-0912342,28419
01-0726495,27726
80-0233937,27609
22-3039688,26912
0004186591,23600
7505400005,23165
38-2799035,22166
0000212465,20934
41-1795868,19597
0000476810,18200
7992700007,17439
7811300008,14794
0471809999,13685
0000019222,12007
0000617677,12003
95-4866828,11891
7056000000,11342
7162800002,10596
20-8921389,10467
0004114567,9985
91-1780488,9954
13-3222578,9905
33-0419992,9899
0000937898,9395
36-4327855,9327
33-0941669,8801
68-0309242,8512
0000804963,8345
22-3887207,8308
11-3412303,8209
27-4023565,8134
7810600004,8026
0000032489,7963
77-0158990,7955
75-3170028,7445
26-0595342,7002
20-8745846,6964
54-0259290,6950
26-0360466,6899
0000706051,6882
02-0486480,6834
95-3990375,6722
0002888798,6634
20-8544905,6594
33-0975529,6535
6443809990,6458
42-1739728,6378
0000619877,6289
37-1542226,6254
46-3676810,6182
0002735146,6032
47-0873092,5970
0000025080,5920
23-2470039,5680
7257500009,5633
7976700006,5614
0000959395,5572
26-0707492,5200
43-1965151,5104
51-0654034,4933
76-0503625,4880
0000001999,4830
37-1493496,4797
54-1994393,4736
0000817824,4682
68-0151632,4623
94-3169132,4582
0000675332,4502
26-0021318,4497
20-1832276,4347
75-2695327,3885
95-4671903,3781
57-1175755,3776
26-3874984,3724
62-1859487,3664
0000716456,3439
20-8083209,3248
62-1532940,3202
0000008663,3191
56-2237729,3113
0000061004,3108
77-0556943,3104
0000030810,3041
0000143662,3035
27-0267182,3025
0000068579,3003
0000656733,2943
0870691650,2941
33-0397503,2924
0000708028,2885
0000197478,2883
0000413208,2840
33-0962918,2788
0000024382,2749
86-0634557,2716
27-1438405,2715
1635900004,2660
33-0834150,2562
46-2749358,2520
0002618780,2468
95-4539084,2464
0000066584,2444
90-0186134,2437
0000112837,2404
7516800003,2368
52-2091594,2356
0000068429,2330
7674000006,2313
20-4866754,2283
52-2354562,2271
0000029209,2265
20-5238443,2263
