Column,Value,Count
as_of_year,2017,1714459
state_name,California,1714459
state_abbr,CA,1714459
state_code,6,1714459
hoepa_status,2,1713944
hoepa_status_name,Not a HOEPA loan,1713944
property_type,1,1671889
property_type_name,One-to-four family dwelling (other than manufactured housing),1671889
preapproval_name,Not applicable,1506675
preapproval,3,1506675
owner_occupancy_name,Owner-occupied as a principal dwelling,1505518
owner_occupancy,1,1505518
lien_status,1,1414092
lien_status_name,Secured by a first lien,1414092
loan_type_name,Conventional,1324862
loan_type,1,1324862
agency_abbr,HUD,1005353
agency_code,7,1005353
agency_name,Department of Housing and Urban Development,1005353
applicant_ethnicity_name,Not Hispanic or Latino,1001439
applicant_ethnicity,2,1001439
applicant_sex,1,996254
applicant_sex_name,Male,996254
applicant_race_1,5,969817
applicant_race_name_1,White,969817
loan_purpose,3,917354
loan_purpose_name,Refinancing,917354
purchaser_type_name,Loan was not originated or was not sold in calendar year covered by register,893403
purchaser_type,0,893403
action_taken_name,Loan originated,877753
action_taken,1,877753
co_applicant_ethnicity_name,No co-applicant,829501
co_applicant_sex_name,No co-applicant,829501
co_applicant_ethnicity,5,829501
co_applicant_race_name_1,No co-applicant,829501
co_applicant_race_1,8,829501
co_applicant_sex,5,829501
loan_purpose,1,678869
loan_purpose_name,Home purchase,678869
agency_abbr,CFPB,545436
agency_code,9,545436
agency_name,Consumer Financial Protection Bureau,545436
co_applicant_sex,2,539619
co_applicant_sex_name,Female,539619
co_applicant_ethnicity,2,477896
co_applicant_ethnicity_name,Not Hispanic or Latino,477896
co_applicant_race_1,5,468635
co_applicant_race_name_1,White,468635
applicant_sex,2,427287
applicant_sex_name,Female,427287
county_name,Los Angeles County,352121
county_code,37.0,352121.0
hud_median_family_income,64300.0,350896.0
msamd_name,"Los Angeles, Long Beach, Glendale - CA",350698
msamd,31084.0,350698.0
applicant_ethnicity,1,326031
applicant_ethnicity_name,Hispanic or Latino,326031
applicant_race_name_1,"Information not provided by applicant in mail, Internet, or telephone application",271228
applicant_race_1,6,271228
hud_median_family_income,63200.0,259707.0
msamd,40140.0,259693.0
msamd_name,"Riverside, San Bernardino, Ontario - CA",259693
purchaser_type,1,257246
purchaser_type_name,Fannie Mae (FNMA),257246
loan_type,2,255304
loan_type_name,FHA-insured,255304
action_taken_name,Application withdrawn by applicant,241369
action_taken,4,241369
action_taken_name,Loan purchased by the institution,233447
lien_status,4,233447
action_taken,6,233447
lien_status_name,Not applicable,233447
action_taken,3,226258
action_taken_name,Application denied by financial institution,226258
applicant_ethnicity_name,"Information not provided by applicant in mail, Internet, or telephone application",225835
applicant_ethnicity,3,225835
applicant_race_1,2,212429
applicant_race_name_1,Asian,212429
owner_occupancy,2,194399
owner_occupancy_name,Not owner-occupied as a principal dwelling,194399
preapproval,2,179061
preapproval_name,Preapproval was not requested,179061
purchaser_type_name,Freddie Mac (FHLMC),171975
purchaser_type,3,171975
applicant_ethnicity_name,Not applicable,161154
applicant_ethnicity,4,161154
applicant_race_name_1,Not applicable,160432
applicant_race_1,7,160432
applicant_sex,4,160050
applicant_sex_name,Not applicable,160050
purchaser_type,2,158456
purchaser_type_name,Ginnie Mae (GNMA),158456
county_code,73.0,156827.0
county_name,San Diego County,156827
hud_median_family_income,79300.0,156230.0
msamd_name,"San Diego, Carlsbad - CA",156222
msamd,41740.0,156222.0
co_applicant_ethnicity,1,153639
co_applicant_ethnicity_name,Hispanic or Latino,153639
respondent_id,0000451965,153638
county_name,Riverside County,145918
county_code,65.0,145918.0
co_applicant_race_1,6,141346
co_applicant_race_name_1,"Information not provided by applicant in mail, Internet, or telephone application",141346
co_applicant_sex,1,140865
co_applicant_sex_name,Male,140865
hud_median_family_income,75200.0,137194.0
msamd,40900.0,137188.0
msamd_name,"Sacramento, Roseville, Arden-Arcade - CA",137188
hud_median_family_income,97400.0,134580.0
msamd,36084.0,134511.0
msamd_name,"Oakland, Hayward, Berkeley - CA",134511
co_applicant_ethnicity_name,Not applicable,132554
co_applicant_ethnicity,4,132554
co_applicant_sex_name,Not applicable,132213
co_applicant_sex,4,132213
co_applicant_race_name_1,Not applicable,132211
co_applicant_race_1,7,132211
applicant_sex_name,"Information not provided by applicant in mail, Internet, or telephone application",130868
applicant_sex,3,130868
county_code,59.0,130583.0
county_name,Orange County,130583
hud_median_family_income,88000.0,129831.0
msamd_name,"Anaheim, Santa Ana, Irvine - CA",129733
msamd,11244.0,129733.0
loan_type_name,VA-guaranteed,128964
loan_type,3,128964
co_applicant_ethnicity_name,"Information not provided by applicant in mail, Internet, or telephone application",120869
co_applicant_ethnicity,3,120869
loan_purpose,2,118236
loan_purpose_name,Home improvement,118236
county_name,San Bernardino County,114213
county_code,71.0,114213.0
co_applicant_race_1,2,105193
co_applicant_race_name_1,Asian,105193
purchaser_type_name,"Commercial bank, savings bank or savings association",89764
purchaser_type,6,89764
county_name,Sacramento County,86355
county_code,67.0,86355.0
purchaser_type,7,82080
purchaser_type_name,"Life insurance company, credit union, mortgage bank, or finance company",82080
action_taken,5,81948
action_taken_name,File closed for incompleteness,81948
agency_name,National Credit Union Administration,74203
agency_code,5,74203
agency_abbr,NCUA,74203
hud_median_family_income,111200.0,72899.0
msamd_name,"San Jose, Sunnyvale, Santa Clara - CA",72893
msamd,41940.0,72893.0
respondent_id,0000852218,72457
co_applicant_sex_name,"Information not provided by applicant in mail, Internet, or telephone application",72261
co_applicant_sex,3,72261
county_name,Alameda County,69846
county_code,1.0,69846.0
county_name,Santa Clara County,69592
county_code,85.0,69592.0
applicant_race_name_1,Black or African American,68421
applicant_race_1,3,68421
county_name,Contra Costa County,65422
county_code,13.0,65422.0
respondent_id,7197000003,59900
action_taken,2,53535
action_taken_name,Application approved but not accepted,53535
respondent_id,0000480228,52903
hud_median_family_income,113100.0,49450.0
msamd_name,"San Francisco, Redwood City, South San Francisco - CA",49435
msamd,41884.0,49435.0
denial_reason_1,1.0,49084.0
denial_reason_name_1,Debt-to-income ratio,49084
respondent_id,75-2921540,48883
lien_status_name,Secured by a subordinate lien,47535
lien_status,2,47535
agency_code,3,47492
agency_name,Federal Deposit Insurance Corporation,47492
agency_abbr,FDIC,47492
respondent_id,26-4599244,39782
county_name,San Joaquin County,39089
county_code,77.0,39089.0
hud_median_family_income,61100.0,39073.0
msamd,44700.0,39072.0
msamd_name,"Stockton, Lodi - CA",39072
hud_median_family_income,59900.0,38892.0
county_name,Ventura County,38550
county_code,111.0,38550.0
hud_median_family_income,85600.0,38391.0
msamd_name,"Oxnard, Thousand Oaks, Ventura - CA",38381
msamd,37100.0,38381.0
county_code,19.0,38070.0
county_name,Fresno County,38070
hud_median_family_income,50000.0,38041.0
msamd,23420.0,38040.0
msamd_name,Fresno - CA,38040
county_name,Kern County,37249
county_code,29.0,37249.0
hud_median_family_income,53000.0,37177.0
msamd_name,Bakersfield - CA,37175
msamd,12540.0,37175.0
respondent_id,0000146672,36885
respondent_id,38-2750395,36854
loan_amount_000s,424.0,36040.0
respondent_id,0000504713,33757
respondent_id,13-6131491,33385
purchaser_type_name,Other type of purchaser,31979
purchaser_type,9,31979
respondent_id,23-2769131,31840
agency_name,Office of the Comptroller of the Currency,30729
agency_abbr,OCC,30729
agency_code,1,30729
property_type_name,Manufactured housing,29856
property_type,2,29856
preapproval_name,Preapproval was requested,28723
preapproval,1,28723
county_name,Placer County,28476
county_code,61.0,28476.0
respondent_id,47-0912342,28419
denial_reason_1,3.0,28375.0
denial_reason_name_1,Credit history,28375
county_code,95.0,27978.0
county_name,Solano County,27978
hud_median_family_income,80400.0,27929.0
msamd_name,"Vallejo, Fairfield - CA",27928
msamd,46700.0,27928.0
respondent_id,01-0726495,27726
respondent_id,80-0233937,27609
county_code,99.0,27494.0
county_name,Stanislaus County,27494
hud_median_family_income,57500.0,27481.0
msamd_name,Modesto - CA,27481
msamd,33700.0,27481.0
respondent_id,22-3039688,26912
county_name,San Mateo County,26873
county_code,81.0,26873.0
respondent_id,0004186591,23600
respondent_id,7505400005,23165
denial_reason_name_1,Credit application incomplete,23034
denial_reason_1,7.0,23034.0
county_code,75.0,22958.0
county_name,San Francisco County,22958
county_name,Sonoma County,22889
county_code,97.0,22889.0
hud_median_family_income,83900.0,22849.0
msamd_name,Santa Rosa - CA,22843
msamd,42220.0,22843.0
respondent_id,38-2799035,22166
respondent_id,0000212465,20934
co_applicant_race_name_1,Black or African American,20526
co_applicant_race_1,3,20526
denial_reason_1,4.0,19886.0
denial_reason_name_1,Collateral,19886
respondent_id,41-1795868,19597
lien_status,3,19385
lien_status_name,Not secured by a lien,19385
respondent_id,0000476810,18200
respondent_id,7992700007,17439
applicant_income_000s,60.0,17247.0
purchaser_type_name,Private securitization,17202
purchaser_type,5,17202
county_name,Tulare County,17117
county_code,107.0,17117.0
msamd,47300.0,17110.0
hud_median_family_income,47300.0,17110.0
msamd_name,"Visalia, Porterville - CA",17110
loan_amount_000s,636.0,16858.0
applicant_race_name_1,Native Hawaiian or Other Pacific Islander,16313
applicant_race_1,4,16313
applicant_race_name_1,American Indian or Alaska Native,15819
applicant_race_1,1,15819
loan_amount_000s,300.0,15765.0
county_code,83.0,15639.0
county_name,Santa Barbara County,15639
hud_median_family_income,73900.0,15578.0
msamd,42200.0,15573.0
msamd_name,"Santa Maria, Santa Barbara - CA",15573
county_code,53.0,14835.0
county_name,Monterey County,14835
msamd,41500.0,14807.0
msamd_name,Salinas - CA,14807
hud_median_family_income,63100.0,14807.0
respondent_id,7811300008,14794
denial_reason_1,9.0,14627.0
denial_reason_name_1,Other,14627
owner_occupancy,3,14542
owner_occupancy_name,Not applicable,14542
county_code,17.0,14111.0
county_name,El Dorado County,14111
applicant_income_000s,120.0,14058.0
loan_amount_000s,200.0,14003.0
applicant_income_000s,90.0,13851.0
applicant_income_000s,72.0,13849.0
respondent_id,0471809999,13685
county_name,San Luis Obispo County,13526
county_code,79.0,13526.0
hud_median_family_income,83200.0,13504.0
msamd_name,"San Luis Obispo, Paso Robles, Arroyo Grande - CA",13503
msamd,42020.0,13503.0
applicant_income_000s,80.0,13416.0
applicant_income_000s,100.0,13392.0
applicant_income_000s,70.0,13031.0
applicant_income_000s,75.0,13023.0
loan_amount_000s,250.0,12879.0
property_type,3,12714
property_type_name,Multifamily dwelling,12714
applicant_income_000s,84.0,12619.0
loan_amount_000s,400.0,12571.0
purchaser_type_name,Affiliate institution,12319
purchaser_type,8,12319
applicant_income_000s,65.0,12206.0
respondent_id,0000019222,12007
respondent_id,0000617677,12003
respondent_id,95-4866828,11891
applicant_income_000s,85.0,11860.0
applicant_income_000s,78.0,11828.0
applicant_income_000s,62.0,11766.0
applicant_income_000s,96.0,11765.0
county_name,Marin County,11688
county_code,41.0,11688.0
applicant_income_000s,48.0,11675.0
hud_median_family_income,131500.0,11558.0
msamd,42034.0,11548.0
msamd_name,San Rafael - CA,11548
respondent_id,7056000000,11342
agency_abbr,FRS,11246
agency_code,2,11246
agency_name,Federal Reserve System,11246
applicant_income_000s,50.0,11160.0
county_code,47.0,11128.0
county_name,Merced County,11128
msamd_name,Merced - CA,11122
msamd,32900.0,11122.0
hud_median_family_income,48500.0,11122.0
applicant_income_000s,83.0,11099.0
applicant_income_000s,67.0,11033.0
applicant_income_000s,66.0,10999.0
applicant_income_000s,73.0,10970.0
applicant_income_000s,68.0,10897.0
applicant_income_000s,95.0,10890.0
applicant_income_000s,82.0,10888.0
applicant_income_000s,58.0,10837.0
applicant_income_000s,55.0,10791.0
applicant_income_000s,77.0,10790.0
applicant_income_000s,54.0,10742.0
county_name,Santa Cruz County,10687
county_code,87.0,10687.0
applicant_income_000s,52.0,10648.0
hud_median_family_income,83300.0,10624.0
msamd,42100.0,10623.0
msamd_name,"Santa Cruz, Watsonville - CA",10623
co_applicant_race_name_1,Native Hawaiian or Other Pacific Islander,10609
co_applicant_race_1,4,10609
respondent_id,7162800002,10596
applicant_income_000s,110.0,10586.0
applicant_income_000s,74.0,10573.0
applicant_income_000s,69.0,10547.0
applicant_income_000s,71.0,10472.0
respondent_id,20-8921389,10467
applicant_income_000s,86.0,10459.0
applicant_income_000s,92.0,10446.0
applicant_income_000s,79.0,10403.0
applicant_income_000s,64.0,10401.0
applicant_income_000s,76.0,10344.0
applicant_income_000s,88.0,10293.0
applicant_income_000s,56.0,10125.0
applicant_income_000s,87.0,10104.0
applicant_income_000s,81.0,9993.0
respondent_id,0004114567,9985
applicant_income_000s,61.0,9975.0
respondent_id,91-1780488,9954
applicant_income_000s,63.0,9936.0
respondent_id,13-3222578,9905
respondent_id,33-0419992,9899
applicant_income_000s,94.0,9871.0
applicant_income_000s,59.0,9827.0
applicant_income_000s,89.0,9803.0
applicant_income_000s,57.0,9704.0
county_code,7.0,9690.0
county_name,Butte County,9690
applicant_income_000s,105.0,9679.0
msamd_name,Chico - CA,9673
hud_median_family_income,62600.0,9673.0
msamd,17020.0,9673.0
applicant_income_000s,91.0,9665.0
applicant_income_000s,108.0,9654.0
loan_amount_000s,100.0,9570.0
applicant_income_000s,98.0,9544.0
loan_amount_000s,280.0,9413.0
applicant_income_000s,102.0,9404.0
respondent_id,0000937898,9395
applicant_income_000s,53.0,9378.0
loan_amount_000s,350.0,9377.0
applicant_income_000s,93.0,9355.0
respondent_id,36-4327855,9327
loan_amount_000s,150.0,9228.0
denial_reason_name_2,Credit history,9194
denial_reason_2,3.0,9194.0
county_code,89.0,9157.0
