Value,Count
Los Angeles County,352121
San Diego County,156827
Riverside County,145918
Orange County,130583
San Bernardino County,114213
Sacramento County,86355
Alameda County,69846
Santa Clara County,69592
Contra Costa County,65422
San Joaquin County,39089
Ventura County,38550
Fresno County,38070
Kern County,37249
Placer County,28476
Solano County,27978
Stanislaus County,27494
San Mateo County,26873
San Francisco County,22958
Sonoma County,22889
Tulare County,17117
Santa Barbara County,15639
Monterey County,14835
El Dorado County,14111
San Luis Obispo County,13526
Marin County,11688
Merced County,11128
Santa Cruz County,10687
Butte County,9690
Shasta County,9157
Yolo County,8497
Nevada County,6853
Napa County,6645
Madera County,6397
Imperial County,5833
Kings County,5494
Yuba County,4478
Sutter County,4447
Humboldt County,3691
San Benito County,3682
Calaveras County,3681
Lake County,3441
Tuolumne County,3351
Mendocino County,2765
Tehama County,2729
Amador County,2366
Siskiyou County,1589
Plumas County,1284
Lassen County,1130
Mono County,1101
Glenn County,956
Del Norte County,874
Mariposa County,856
Colusa County,764
Inyo County,518
Trinity County,500
Modoc County,244
Sierra County,186
Alpine County,97
