Value,Count
13687.0,2568.0
20783.0,2130.0
6556.0,1991.0
22157.0,1987.0
19564.0,1927.0
5750.0,1914.0
6158.0,1890.0
23589.0,1882.0
6233.0,1852.0
4312.0,1770.0
4482.0,1744.0
5344.0,1729.0
17180.0,1682.0
5122.0,1676.0
7165.0,1641.0
28187.0,1615.0
8871.0,1605.0
15354.0,1602.0
4824.0,1591.0
1031.0,1590.0
4902.0,1580.0
13088.0,1546.0
5648.0,1535.0
9221.0,1512.0
7489.0,1512.0
6878.0,1503.0
6100.0,1471.0
6848.0,1467.0
17134.0,1459.0
6531.0,1459.0
11193.0,1457.0
4795.0,1451.0
4993.0,1447.0
6991.0,1445.0
3643.0,1443.0
3932.0,1436.0
4901.0,1428.0
10329.0,1426.0
9651.0,1423.0
20089.0,1413.0
4547.0,1409.0
14628.0,1408.0
6723.0,1401.0
4850.0,1397.0
15056.0,1385.0
7847.0,1379.0
5198.0,1375.0
5018.0,1360.0
4260.0,1355.0
5644.0,1353.0
5468.0,1350.0
5625.0,1332.0
10075.0,1328.0
22185.0,1311.0
4699.0,1308.0
12604.0,1299.0
6674.0,1298.0
4653.0,1293.0
4334.0,1275.0
7841.0,1270.0
5592.0,1269.0
6388.0,1263.0
6022.0,1243.0
6197.0,1242.0
7941.0,1236.0
6281.0,1229.0
5684.0,1229.0
6731.0,1228.0
5422.0,1225.0
16849.0,1222.0
6433.0,1221.0
3265.0,1217.0
18628.0,1215.0
3965.0,1206.0
4206.0,1206.0
6414.0,1204.0
6003.0,1200.0
5967.0,1194.0
4813.0,1194.0
4405.0,1189.0
11643.0,1189.0
8805.0,1185.0
5397.0,1183.0
5792.0,1182.0
12420.0,1181.0
6051.0,1167.0
18457.0,1166.0
6772.0,1165.0
4118.0,1158.0
14917.0,1153.0
21382.0,1139.0
6762.0,1138.0
6384.0,1137.0
12359.0,1133.0
6528.0,1132.0
7878.0,1130.0
4233.0,1129.0
3322.0,1128.0
6955.0,1126.0
11748.0,1122.0
4560.0,1115.0
18026.0,1113.0
5279.0,1112.0
14780.0,1109.0
6193.0,1108.0
4353.0,1106.0
5398.0,1105.0
14744.0,1105.0
4444.0,1104.0
4852.0,1104.0
6602.0,1096.0
15010.0,1094.0
5685.0,1094.0
5222.0,1092.0
5396.0,1088.0
6408.0,1087.0
7414.0,1087.0
3825.0,1082.0
9778.0,1082.0
7932.0,1081.0
4249.0,1080.0
8092.0,1079.0
9493.0,1078.0
5206.0,1077.0
10317.0,1077.0
12442.0,1071.0
4369.0,1069.0
7849.0,1064.0
6017.0,1063.0
7857.0,1061.0
3819.0,1060.0
6884.0,1053.0
5532.0,1053.0
5456.0,1046.0
3999.0,1046.0
8787.0,1046.0
14692.0,1045.0
7564.0,1045.0
6457.0,1044.0
4991.0,1043.0
12546.0,1043.0
8317.0,1041.0
6857.0,1037.0
6241.0,1034.0
7367.0,1033.0
5739.0,1032.0
3633.0,1032.0
6162.0,1031.0
6129.0,1029.0
6774.0,1028.0
12896.0,1024.0
4071.0,1023.0
4314.0,1020.0
3426.0,1018.0
6855.0,1016.0
10502.0,1016.0
3652.0,1014.0
5757.0,1011.0
3421.0,1009.0
5582.0,1009.0
6783.0,1008.0
4201.0,1008.0
9490.0,1007.0
5048.0,1003.0
4853.0,999.0
11831.0,998.0
5717.0,998.0
5729.0,997.0
6104.0,996.0
6763.0,996.0
11256.0,993.0
4517.0,992.0
6746.0,992.0
7805.0,988.0
6966.0,988.0
3890.0,988.0
6087.0,986.0
6658.0,986.0
4785.0,984.0
4347.0,983.0
3209.0,980.0
5269.0,979.0
6525.0,977.0
12999.0,976.0
5086.0,976.0
4514.0,972.0
4667.0,971.0
4428.0,969.0
5776.0,968.0
5612.0,968.0
4199.0,967.0
7420.0,967.0
6427.0,966.0
4666.0,965.0
4906.0,963.0
5619.0,962.0
5433.0,961.0
7631.0,961.0
7800.0,961.0
5711.0,960.0
8923.0,957.0
6845.0,957.0
4330.0,954.0
5476.0,954.0
4387.0,952.0
5568.0,948.0
13814.0,948.0
4158.0,946.0
5060.0,945.0
5108.0,944.0
10742.0,941.0
5485.0,940.0
8825.0,939.0
3425.0,938.0
11405.0,938.0
5356.0,938.0
8184.0,936.0
7363.0,935.0
7577.0,935.0
6771.0,934.0
9189.0,933.0
7082.0,932.0
3456.0,932.0
4740.0,931.0
7243.0,929.0
4714.0,926.0
13467.0,925.0
5459.0,925.0
5312.0,924.0
4258.0,922.0
5813.0,922.0
5267.0,922.0
7514.0,921.0
5653.0,920.0
5381.0,919.0
3288.0,918.0
4801.0,916.0
5274.0,916.0
3302.0,915.0
4554.0,915.0
3655.0,915.0
10670.0,913.0
5159.0,912.0
9247.0,911.0
4727.0,911.0
4425.0,909.0
7356.0,906.0
4148.0,906.0
20663.0,905.0
4562.0,904.0
5915.0,903.0
13672.0,903.0
8969.0,902.0
4843.0,900.0
11642.0,900.0
8204.0,898.0
12677.0,897.0
3983.0,897.0
7075.0,896.0
10148.0,894.0
5237.0,893.0
7934.0,890.0
5041.0,889.0
4174.0,889.0
4921.0,888.0
8403.0,886.0
5024.0,886.0
12511.0,885.0
4749.0,885.0
6275.0,884.0
4162.0,882.0
10730.0,882.0
5022.0,881.0
8698.0,881.0
4398.0,881.0
7273.0,879.0
5315.0,878.0
6834.0,877.0
8979.0,876.0
3928.0,875.0
7144.0,873.0
4485.0,872.0
7604.0,871.0
3565.0,867.0
14791.0,867.0
7752.0,867.0
4418.0,866.0
4400.0,863.0
7665.0,860.0
5545.0,860.0
7199.0,860.0
3759.0,858.0
4717.0,858.0
7769.0,858.0
3515.0,858.0
13164.0,855.0
5173.0,855.0
6954.0,853.0
5603.0,853.0
6636.0,853.0
3388.0,852.0
3884.0,852.0
5093.0,850.0
12916.0,850.0
3395.0,850.0
7811.0,849.0
4382.0,849.0
6421.0,848.0
7503.0,848.0
7925.0,848.0
5932.0,847.0
5158.0,847.0
6294.0,847.0
6610.0,844.0
5834.0,842.0
10264.0,841.0
9718.0,841.0
4572.0,840.0
5285.0,840.0
4613.0,839.0
10611.0,837.0
4469.0,836.0
5520.0,836.0
10714.0,834.0
6874.0,834.0
12657.0,833.0
5395.0,832.0
5224.0,832.0
11626.0,829.0
4047.0,828.0
4760.0,827.0
5095.0,826.0
4722.0,825.0
10854.0,825.0
3850.0,824.0
3968.0,821.0
4302.0,820.0
8104.0,820.0
4176.0,820.0
5145.0,818.0
6899.0,815.0
6536.0,815.0
6088.0,815.0
8002.0,814.0
4762.0,814.0
5833.0,813.0
3909.0,812.0
6080.0,812.0
7909.0,811.0
7458.0,811.0
9706.0,811.0
4530.0,810.0
10496.0,809.0
7569.0,809.0
3282.0,808.0
6385.0,808.0
10504.0,808.0
4905.0,802.0
3756.0,802.0
5830.0,802.0
6405.0,801.0
4998.0,801.0
5034.0,800.0
5671.0,800.0
4472.0,797.0
7707.0,796.0
4345.0,796.0
4359.0,795.0
5922.0,795.0
4610.0,794.0
5710.0,794.0
7037.0,793.0
6365.0,793.0
5104.0,792.0
12910.0,792.0
7660.0,792.0
4898.0,792.0
7067.0,792.0
10863.0,791.0
5799.0,789.0
5832.0,788.0
4888.0,786.0
4985.0,785.0
5243.0,785.0
5127.0,784.0
6041.0,784.0
5483.0,784.0
5327.0,784.0
8547.0,783.0
3380.0,781.0
5411.0,781.0
6790.0,780.0
4286.0,780.0
4361.0,780.0
